benchmark,kernel_cpu_millis,user_cpu_millis,wall_clock_millis
ls /etc,0,0,1.9621899999999999
ls /dev,0,0,1.891678
ls /dev,0,0,1.9342380000000001
ls /etc,0,0,1.9624059999999999
ls /etc,0,0,2.0106770000000003
ls /etc,0,0,1.932979
ls /etc,10,0,1.8543120000000002
ls /dev,0,0,2.193544
ls /etc,0,10,2.886882
ls /dev,0,0,2.238884
ls /dev,0,0,2.029167
ls /dev,0,0,2.152808
ls /etc,0,0,2.164444
ls /dev,0,0,2.129693
ls /etc,10,0,2.6754890000000002
ls /dev,0,0,2.381189
ls /etc,0,0,2.175025
ls /dev,0,0,2.054143
ls /dev,0,0,2.012944
ls /dev,0,0,1.9621709999999999
ls /etc,0,10,1.8982109999999999
ls /etc,10,0,2.404944
ls /etc,0,0,2.876553
ls /etc,0,0,3.761444
ls /etc,0,0,2.727484
ls /etc,0,0,2.483834
ls /dev,0,0,3.260176
ls /etc,10,0,2.512036
ls /etc,0,0,2.585569
ls /etc,0,0,1.9882179999999998
ls /etc,0,0,2.415669
ls /dev,0,0,2.6368590000000003
ls /dev,0,10,1.741643
ls /dev,0,0,1.959115
ls /etc,10,0,2.2152600000000002
ls /etc,0,0,2.182324
ls /dev,0,0,2.246262
ls /etc,0,0,2.786387
ls /dev,0,0,2.942502
ls /dev,0,0,2.0465180000000003
ls /etc,0,0,1.875573
ls /etc,10,0,1.9188269999999998
ls /dev,0,0,1.8532629999999999
ls /dev,0,0,1.947432
ls /etc,0,0,1.8708690000000001
ls /dev,0,0,2.231078
ls /dev,0,0,1.737284
ls /etc,0,0,1.893602
ls /etc,10,0,1.759198
ls /dev,0,0,1.794713
ls /dev,0,0,2.002837
ls /dev,0,0,1.8780139999999999
ls /dev,0,10,1.8855709999999999
ls /etc,0,0,1.848976
ls /etc,0,0,1.8188410000000002
ls /etc,0,0,1.856927
ls /etc,10,0,2.127655
ls /etc,0,0,1.868596
ls /etc,0,0,1.9224
ls /dev,0,0,1.918267
ls /etc,0,0,1.929833
ls /etc,0,0,1.9617100000000003
ls /dev,0,0,1.912837
ls /etc,10,0,2.469455
ls /dev,0,0,2.773381
ls /dev,0,0,1.897662
ls /dev,0,0,2.191927
ls /etc,0,0,2.184924
ls /etc,0,10,1.861537
ls /etc,0,0,1.845122
ls /dev,0,0,1.808691
ls /dev,0,0,1.812962
ls /etc,10,0,2.048709
ls /etc,0,0,2.359161
ls /dev,0,0,2.616885
ls /etc,0,0,2.047449
ls /etc,0,0,1.924798
ls /etc,0,0,2.093456
ls /etc,0,0,1.948574
ls /etc,10,0,1.829224
ls /dev,0,0,1.866174
ls /dev,0,0,2.435795
ls /etc,0,0,2.172004
ls /dev,0,0,2.324092
ls /etc,0,0,1.9679369999999998
ls /etc,10,0,1.934628
ls /dev,0,0,1.811366
ls /dev,0,10,1.823613
ls /etc,0,0,1.855449
ls /dev,0,0,2.6364900000000002
ls /dev,0,0,2.221945
ls /etc,0,0,1.98907
